Qty,Value,Device,Package,Parts,Description
2,SN74LVC1G17DCKR,SN74LVC1G17DCKR,SOT65P210X110-5N,"U19, U20","Buffer, Non-Inverting 1 Element 1 Bit per Element Push-Pull Output SC-70-5"
1,SY8089AAACSY8089AAAC_SGY-L,SY8089AAACSY8089AAAC_SGY-L,SY8089AAAC_SGY-L,U12,"SY8089 and SY8089A are high-efficiency, high frequency synchronous step-down DC-DC regulator IC capable of delivering up to 2A output current"
4,TPD4E05U06DQAR,TPD4E05U06DQAR,IC_TPD4E05U06DQAR,"U2, U3, U22, U24",14V Clamp 2.5A (8/20µs) Ipp Tvs Diode Surface Mount 10-USON (2.5x1)
1,TPS61160ADRVT,TPS61160ADRVT,SON65P200X200X80-7N,U16,White LED Driver with PWM Brightness Control in 2mm x 2mm Package. Up to 10 LEDs in Series
1,TPS61235PRWLT,TPS61235PRWLT,CONV_TPS61235PRWLT,U7,TPS6123x 8-A Valley Current Synchronous Boost Converters with Constant Current Output Feature 9-VQFN-HR -40 to 85 Check availability
1,TPS65987DDHRSHR,TPS65987DDHRSHR,IC_TPS65987DDHRSHR,U21,USB Type-C™ and USB PD Controller With Integrated Power Switches 56-VQFN -40 to 85 Check availability
1,HYM8563TS,HYM8563TS,HYM8563TS,U18,HYM8563 CMOS RTC IC
1,TUSB546-DCIRNQT,TUSB546-DCIRNQT,QFN40P400X600X80-41N,U23,"Buffer, ReDriver 2 Channel 8.1Gbps 40-WQFN (4x6) "
4,UM3204QQFN14_3.5X3.5_UM3204_USC-L,UM3204QQFN14_3.5X3.5_UM3204_USC-L,QFN14_3.5X3.5_UM3204_USC-L,"U8, U9, U10, U13",Bidirectional Voltage-Level Translators
1,W25X05CLUXIGTR,W25X05CLUXIGTR,PSON50P300X200X60-9N,U4,SPI Flash Module
1,WM8960,WM8960,QFN50P500X500X100-33N,U6,Audio Amplifier
